114.9, 1476, 1, FS, III
114.9, 2198, 2, RS, III
114.9, 2214, 2, RS, III
114.9, 2223, 2, RS, III
114.9, 3000, 3, FS, III
114.9, 3002, 3, FS, III
115, 561, 0, RS, III
115, 678, 0, RS, III
115, 699, 0, RS, III
115, 1303, 1, LTS, IV
115, 1319, 1, RS, III
115, 1370, 1, RS, III
115, 1380, 1, RS, III
115, 1486, 1, FS, III
115, 1492, 1, FS, III
115, 2169, 2, RS, III
115.1, 1322, 1, RS, III
115.1, 1333, 1, RS, III
115.1, 1371, 1, RS, III
115.1, 1387, 1, RS, III
115.1, 1388, 1, RS, III
115.1, 1430, 1, RS, III
115.1, 1457, 1, RS, III
115.1, 1484, 1, FS, III
115.1, 1503, 1, FS, III
115.1, 2998, 3, FS, III
115.1, 3011, 3, FS, III
115.2, 608, 0, RS, III
115.2, 1282, 1, FS, IV
115.2, 1284, 1, FS, IV
115.2, 1295, 1, LTS, IV
115.2, 1313, 1, RS, III
115.2, 1336, 1, RS, III
115.2, 1369, 1, RS, III
115.2, 1383, 1, RS, III
115.2, 1427, 1, RS, III
115.2, 1479, 1, FS, III
115.2, 1483, 1, FS, III
115.2, 2141, 2, RS, III
115.3, 590, 0, RS, III
115.3, 671, 0, RS, III
115.3, 1292, 1, FS, IV
115.3, 1321, 1, RS, III
115.3, 1325, 1, RS, III
115.3, 1366, 1, RS, III
115.3, 1385, 1, RS, III
115.3, 1447, 1, RS, III
115.3, 1480, 1, FS, III
115.3, 2115, 2, RS, III
115.3, 2215, 2, RS, III
115.4, 595, 0, RS, III
115.4, 695, 0, RS, III
115.4, 1039, 1, RS, V
115.4, 1309, 1, RS, III
115.4, 1367, 1, RS, III
115.4, 1409, 1, RS, III
115.4, 1419, 1, RS, III
115.4, 1421, 1, RS, III
115.4, 1452, 1, RS, III
115.4, 1972, 2, RS, IV
115.5, 618, 0, RS, III
115.5, 693, 0, RS, III
115.5, 1118, 1, FS, V
115.5, 1121, 1, FS, V
115.5, 1289, 1, FS, IV
115.5, 1397, 1, RS, III
115.5, 1420, 1, RS, III
115.5, 1456, 1, RS, III
115.5, 1477, 1, FS, III
115.5, 2136, 2, RS, III
115.5, 2184, 2, RS, III
115.6, 728, 0, FS, III
115.6, 1126, 1, FS, V
115.6, 1140, 1, FS, V
115.6, 1142, 1, FS, V
