127.7, 607, 0, RS, III
127.7, 612, 0, RS, III
127.7, 660, 0, RS, III
127.7, 673, 0, RS, III
127.7, 685, 0, RS, III
127.7, 714, 0, RS, III
127.7, 715, 0, FS, III
127.7, 728, 0, FS, III
127.8, 570, 0, RS, III
127.8, 587, 0, RS, III
127.8, 635, 0, RS, III
127.8, 640, 0, RS, III
127.8, 667, 0, RS, III
127.8, 694, 0, RS, III
127.8, 733, 0, FS, III
127.9, 367, 0, FS, V
127.9, 426, 0, IB, V
127.9, 578, 0, RS, III
127.9, 636, 0, RS, III
127.9, 723, 0, FS, III
127.9, 726, 0, FS, III
128, 286, 0, RS, V
128, 296, 0, RS, V
128, 318, 0, RS, V
128, 329, 0, RS, V
128, 720, 0, FS, III
128, 722, 0, FS, III
128, 727, 0, FS, III
128, 734, 0, FS, III
128, 740, 0, FS, III
128.1, 272, 0, RS, V
128.1, 328, 0, RS, V
128.1, 351, 0, RS, V
128.1, 394, 0, LTS, V
128.1, 639, 0, RS, III
128.1, 671, 0, RS, III
128.1, 1885, 2, FS, V
128.2, 333, 0, RS, V
128.2, 342, 0, RS, V
128.2, 400, 0, LTS, V
128.2, 524, 0, FS, IV
128.2, 557, 0, RS, III
128.2, 633, 0, RS, III
128.2, 634, 0, RS, III
128.2, 638, 0, RS, III
128.2, 643, 0, RS, III
128.2, 644, 0, RS, III
128.2, 696, 0, RS, III
128.2, 732, 0, FS, III
128.3, 276, 0, RS, V
128.3, 297, 0, RS, V
128.3, 403, 0, IB, V
128.3, 431, 0, IB, V
128.3, 589, 0, RS, III
128.3, 600, 0, RS, III
128.3, 632, 0, RS, III
128.3, 701, 0, RS, III
128.3, 721, 0, FS, III
128.3, 731, 0, FS, III
128.3, 736, 0, FS, III
128.4, 278, 0, RS, V
128.4, 304, 0, RS, V
128.4, 350, 0, RS, V
128.4, 418, 0, IB, V
128.4, 586, 0, RS, III
128.4, 599, 0, RS, III
128.4, 738, 0, FS, III
128.4, 1905, 2, FS, V
128.5, 295, 0, RS, V
128.5, 343, 0, RS, V
128.5, 346, 0, RS, V
128.5, 556, 0, RS, III
128.5, 604, 0, RS, III
128.5, 695, 0, RS, III
128.5, 710, 0, RS, III
128.5, 741, 0, FS, III
128.5, 1130, 1, FS, V
128.6, 282, 0, RS, V
128.6, 316, 0, RS, V
128.6, 317, 0, RS, V
128.6, 326, 0, RS, V
128.6, 554, 0, RS, III
128.6, 651, 0, RS, III
128.6, 679, 0, RS, III
128.6, 693, 0, RS, III
128.6, 707, 0, RS, III
128.6, 708, 0, RS, III
128.6, 725, 0, FS, III
128.6, 1137, 1, FS, V
128.7, 279, 0, RS, V
128.7, 315, 0, RS, V
128.7, 324, 0, RS, V
128.7, 338, 0, RS, V
128.7, 345, 0, RS, V
128.7, 699, 0, RS, III
128.7, 703, 0, RS, III
128.7, 704, 0, RS, III
128.8, 78, 0, RS, VI
128.8, 336, 0, RS, V
128.8, 396, 0, LTS, V
128.8, 412, 0, IB, V
128.8, 430, 0, IB, V
128.8, 552, 0, RS, III
128.8, 687, 0, RS, III
128.8, 718, 0, FS, III
128.8, 1121, 1, FS, V
128.8, 1125, 1, FS, V
128.8, 1142, 1, FS, V
128.8, 1144, 1, FS, V
128.8, 1883, 2, FS, V
128.9, 274, 0, RS, V
128.9, 548, 0, RS, III
128.9, 561, 0, RS, III
128.9, 567, 0, RS, III
128.9, 597, 0, RS, III
128.9, 642, 0, RS, III
128.9, 648, 0, RS, III
128.9, 684, 0, RS, III
128.9, 1034, 1, RS, V
128.9, 1129, 1, FS, V
128.9, 1136, 1, FS, V
129, 277, 0, RS, V
129, 298, 0, RS, V
129, 305, 0, RS, V
129, 310, 0, RS, V
129, 311, 0, RS, V
129, 344, 0, RS, V
129, 348, 0, RS, V
129, 615, 0, RS, III
129, 628, 0, RS, III
129, 682, 0, RS, III
129, 735, 0, FS, III
129, 1120, 1, FS, V
129, 1123, 1, FS, V
129, 1132, 1, FS, V
129.1, 408, 0, IB, V
129.1, 411, 0, IB, V
129.1, 422, 0, IB, V
129.1, 584, 0, RS, III
129.1, 601, 0, RS, III
129.1, 689, 0, RS, III
129.1, 1126, 1, FS, V
129.1, 1139, 1, FS, V
129.1, 1143, 1, FS, V
129.1, 1146, 1, FS, V
129.1, 1888, 2, FS, V
129.1, 1902, 2, FS, V
129.2, 283, 0, RS, V
129.2, 294, 0, RS, V
129.2, 302, 0, RS, V
129.2, 322, 0, RS, V
129.2, 327, 0, RS, V
129.2, 337, 0, RS, V
129.2, 414, 0, IB, V
129.2, 539, 0, LTS, IV
129.2, 588, 0, RS, III
129.2, 1116, 1, FS, V
129.2, 1131, 1, FS, V
129.2, 1135, 1, FS, V
129.2, 1141, 1, FS, V
129.3, 273, 0, RS, V
129.3, 285, 0, RS, V
129.3, 319, 0, RS, V
129.3, 320, 0, RS, V
129.3, 335, 0, RS, V
129.3, 340, 0, RS, V
129.3, 352, 0, RS, V
129.3, 549, 0, RS, III
129.3, 558, 0, RS, III
129.3, 576, 0, RS, III
129.3, 598, 0, RS, III
129.3, 702, 0, RS, III
129.3, 1122, 1, FS, V
129.3, 1127, 1, FS, V
129.3, 1133, 1, FS, V
129.4, 334, 0, RS, V
129.4, 407, 0, IB, V
129.4, 409, 0, IB, V
129.4, 427, 0, IB, V
129.4, 521, 0, FS, IV
129.4, 526, 0, FS, IV
129.4, 605, 0, RS, III
129.4, 625, 0, RS, III
129.4, 641, 0, RS, III
129.4, 700, 0, RS, III
129.4, 717, 0, FS, III
129.4, 745, 0, LTS, III
129.4, 1117, 1, FS, V
129.4, 1128, 1, FS, V
129.4, 1134, 1, FS, V
129.4, 1145, 1, FS, V
129.5, 301, 0, RS, V
129.5, 424, 0, IB, V
129.5, 530, 0, FS, IV
129.5, 542, 0, LTS, IV
129.5, 670, 0, RS, III
129.5, 711, 0, RS, III
129.5, 742, 0, FS, III
129.5, 1119, 1, FS, V
129.5, 1887, 2, FS, V
129.6, 288, 0, RS, V
129.6, 300, 0, RS, V
129.6, 307, 0, RS, V
129.6, 309, 0, RS, V
129.6, 402, 0, IB, V
129.6, 417, 0, IB, V
