129.5, 1138, 1, FS, V
129.6, 1128, 1, FS, V
129.6, 2538, 3, LTS, VI
129.7, 1130, 1, FS, V
129.7, 1140, 1, FS, V
129.7, 1148, 1, FS, V
129.7, 1150, 1, FS, V
129.7, 1885, 2, FS, V
129.7, 1904, 2, FS, V
129.8, 371, 0, FS, V
129.8, 386, 0, FS, V
129.8, 389, 0, FS, V
129.8, 1126, 1, FS, V
129.8, 1133, 1, FS, V
129.9, 937, 1, RS, VI
129.9, 1123, 1, FS, V
129.9, 1125, 1, FS, V
129.9, 1144, 1, FS, V
130, 362, 0, FS, V
130, 1131, 1, FS, V
130, 1143, 1, FS, V
130, 1168, 1, IB, V
130, 1304, 1, LTS, IV
130, 1890, 2, FS, V
130, 1903, 2, FS, V
130.1, 388, 0, FS, V
130.1, 1042, 1, RS, V
130.1, 1079, 1, RS, V
130.1, 1149, 1, FS, V
130.1, 1172, 1, IB, V
130.3, 361, 0, FS, V
130.3, 370, 0, FS, V
130.3, 1088, 1, RS, V
130.3, 1089, 1, RS, V
130.3, 1910, 2, FS, V
130.4, 382, 0, FS, V
130.4, 1137, 1, FS, V
130.4, 1141, 1, FS, V
130.4, 1174, 1, IB, V
130.4, 1909, 2, FS, V
130.5, 365, 0, FS, V
130.5, 379, 0, FS, V
130.5, 387, 0, FS, V
130.5, 1167, 1, IB, V
130.5, 1188, 1, IB, V
130.6, 367, 0, FS, V
130.6, 381, 0, FS, V
130.6, 1094, 1, RS, V
130.6, 1118, 1, RS, V
130.6, 1139, 1, FS, V
130.6, 1152, 1, FS, V
130.6, 1888, 2, FS, V
130.6, 1893, 2, FS, V
130.7, 1051, 1, RS, V
130.7, 1122, 1, FS, V
130.7, 1132, 1, FS, V
130.7, 1886, 2, FS, V
130.7, 1891, 2, FS, V
130.7, 1905, 2, FS, V
130.8, 1179, 1, IB, V
130.9, 1100, 1, RS, V
130.9, 1181, 1, IB, V
131, 1070, 1, RS, V
131, 1127, 1, FS, V
131, 1142, 1, FS, V
131, 1182, 1, IB, V
131, 1191, 1, IB, V
131, 1896, 2, FS, V
131, 1906, 2, FS, V
131, 1912, 2, FS, V
131.1, 1124, 1, FS, V
131.3, 366, 0, FS, V
131.4, 363, 0, FS, V
131.4, 375, 0, FS, V
131.4, 1185, 1, IB, V
131.4, 1887, 2, FS, V
131.4, 1889, 2, FS, V
131.5, 1135, 1, FS, V
131.7, 1036, 1, RS, V
131.7, 1050, 1, RS, V
131.7, 1169, 1, IB, V
131.8, 1129, 1, FS, V
131.8, 1145, 1, FS, V
131.9, 376, 0, FS, V
131.9, 1189, 1, IB, V
131.9, 1306, 1, LTS, IV
132, 1134, 1, FS, V
132, 1171, 1, IB, V
132, 1192, 1, IB, V
132, 1897, 2, FS, V
132.1, 1151, 1, FS, V
132.1, 1170, 1, IB, V
132.1, 1175, 1, IB, V
132.1, 1180, 1, IB, V
132.1, 1901, 2, FS, V
132.2, 824, 1, RS, VI
132.2, 926, 1, RS, VI
132.2, 1037, 1, RS, V
132.2, 1049, 1, RS, V
132.2, 1069, 1, RS, V
132.2, 1900, 2, FS, V
132.3, 373, 0, FS, V
132.3, 383, 0, FS, V
132.3, 1136, 1, FS, V
132.4, 1138, 1, FS, V
132.4, 1146, 1, FS, V
132.4, 1187, 1, IB, V
132.4, 1190, 1, IB, V
132.5, 1186, 1, IB, V
132.6, 369, 0, FS, V
132.6, 374, 0, FS, V
132.6, 1128, 1, FS, V
132.6, 1140, 1, FS, V
132.6, 1147, 1, FS, V
132.6, 1148, 1, FS, V
132.6, 1150, 1, FS, V
132.7, 1126, 1, FS, V
132.7, 1173, 1, IB, V
132.7, 1176, 1, IB, V
132.8, 1125, 1, FS, V
132.9, 1076, 1, RS, V
132.9, 1131, 1, FS, V
133, 1297, 1, LTS, IV
133.1, 911, 1, RS, VI
133.3, 1144, 1, FS, V
133.4, 1168, 1, IB, V
133.4, 1177, 1, IB, V
133.4, 1184, 1, IB, V
133.5, 1143, 1, FS, V
133.5, 1152, 1, FS, V
133.5, 1301, 1, LTS, IV
133.7, 1123, 1, FS, V
133.7, 1172, 1, IB, V
133.8, 1149, 1, FS, V
133.8, 1174, 1, IB, V
133.9, 1141, 1, FS, V
133.9, 1167, 1, IB, V
133.9, 1188, 1, IB, V
133.9, 1902, 2, FS, V
134.3, 1139, 1, FS, V
134.3, 1181, 1, IB, V
134.4, 368, 0, FS, V
134.4, 1182, 1, IB, V
134.4, 1191, 1, IB, V
134.4, 1911, 2, FS, V
134.6, 1137, 1, FS, V
134.9, 382, 0, FS, V
135, 1179, 1, IB, V
135.1, 1304, 1, LTS, IV
135.1, 1788, 2, LTS, VI
135.1, 2663, 3, FS, V
135.3, 1189, 1, IB, V
135.4, 1171, 1, IB, V
135.4, 1178, 1, IB, V
135.4, 1192, 1, IB, V
135.4, 2665, 3, FS, V
135.5, 851, 1, RS, VI
135.5, 1101, 1, RS, V
135.5, 1170, 1, IB, V
135.5, 1175, 1, IB, V
135.5, 1180, 1, IB, V
135.5, 1793, 2, LTS, VI
135.6, 1020, 1, LTS, VI
135.6, 1183, 1, IB, V
135.7, 1145, 1, FS, V
135.8, 1190, 1, IB, V
135.9, 1126, 1, FS, V
136, 1125, 1, FS, V
136.1, 1173, 1, IB, V
136.3, 770, 1, RS, VI
136.3, 1056, 1, RS, V
136.4, 1152, 1, FS, V
136.6, 779, 1, RS, VI
136.6, 1169, 1, IB, V
136.6, 1176, 1, IB, V
136.6, 2652, 3, FS, V
136.7, 2674, 3, FS, V
136.8, 2648, 3, FS, V
136.9, 835, 1, RS, VI
136.9, 1135, 1, FS, V
136.9, 1138, 1, FS, V
136.9, 1184, 1, IB, V
136.9, 1186, 1, IB, V
137, 843, 1, RS, VI
137, 1129, 1, FS, V
137.1, 826, 1, RS, VI
