383.6, 2750, 3, RS, IV
385.6, 3555, 4, FS, IV
385.7, 3579, 4, LTS, IV
385.9, 2066, 2, LTS, IV
387.8, 3584, 4, LTS, IV
388.4, 2769, 3, RS, IV
389.1, 2057, 2, LTS, IV
394.4, 2825, 3, LTS, IV
395.4, 1296, 1, LTS, IV
398, 544, 0, LTS, IV
400.6, 2791, 3, RS, IV
402.1, 2826, 3, LTS, IV
403.7, 2822, 3, LTS, IV
405.1, 1300, 1, LTS, IV
408.4, 442, 0, RS, IV
413.4, 3499, 4, RS, IV
423.2, 3484, 4, RS, IV
425.3, 2818, 3, LTS, IV
430.4, 3539, 4, RS, IV
430.6, 2065, 2, LTS, IV
431.8, 3510, 4, RS, IV
436.1, 2746, 3, RS, IV
437, 3575, 4, FS, IV
437.7, 3552, 4, RS, IV
437.9, 2730, 3, RS, IV
438.3, 3582, 4, LTS, IV
439.2, 2062, 2, LTS, IV
441.5, 527, 0, FS, IV
442, 2736, 3, RS, IV
444.1, 2810, 3, FS, IV
445.2, 3528, 4, RS, IV
445.5, 3479, 4, RS, IV
447, 3588, 4, LTS, IV
447.2, 1955, 2, RS, IV
448.1, 2813, 3, FS, IV
449.4, 2060, 2, LTS, IV
451.2, 3568, 4, FS, IV
451.9, 2819, 3, LTS, IV
452.5, 2061, 2, LTS, IV
453.3, 2801, 3, FS, IV
454, 3569, 4, FS, IV
454.2, 2732, 3, RS, IV
456.2, 3536, 4, RS, IV
456.3, 2827, 3, LTS, IV
456.6, 2754, 3, RS, IV
456.6, 3572, 4, FS, IV
456.8, 3562, 4, FS, IV
458.4, 3579, 4, LTS, IV
459.4, 3584, 4, LTS, IV
461.1, 535, 0, LTS, IV
464.2, 3516, 4, RS, IV
464.3, 2716, 3, RS, IV
464.6, 1264, 1, RS, IV
465.6, 3533, 4, RS, IV
