113.5, 1186, 1, IB, V
113.5, 1475, 1, FS, III
113.6, 737, 0, FS, III
113.6, 1039, 1, RS, V
113.6, 1059, 1, RS, V
113.6, 1080, 1, RS, V
113.6, 1086, 1, RS, V
113.6, 1096, 1, RS, V
113.6, 1166, 1, IB, V
113.6, 1167, 1, IB, V
113.6, 1181, 1, IB, V
113.6, 1185, 1, IB, V
113.6, 1477, 1, FS, III
113.6, 2257, 2, FS, III
113.7, 622, 0, RS, III
113.7, 1060, 1, RS, V
113.7, 1062, 1, RS, V
113.7, 1077, 1, RS, V
113.7, 1091, 1, RS, V
113.7, 1095, 1, RS, V
113.7, 1173, 1, IB, V
113.7, 2217, 2, RS, III
113.7, 2247, 2, FS, III
113.8, 600, 0, RS, III
113.8, 1068, 1, RS, V
113.8, 3024, 3, FS, III
113.9, 685, 0, RS, III
113.9, 1065, 1, RS, V
113.9, 1434, 1, RS, III
113.9, 2676, 3, LTS, V
114, 1053, 1, RS, V
114, 1103, 1, RS, V
114, 1188, 1, IB, V
114, 1190, 1, IB, V
114.1, 1034, 1, RS, V
114.1, 1064, 1, RS, V
114.1, 1074, 1, RS, V
114.1, 1078, 1, RS, V
114.1, 1081, 1, RS, V
114.1, 1165, 1, IB, V
114.1, 1394, 1, RS, III
114.2, 569, 0, RS, III
114.2, 645, 0, RS, III
114.2, 1392, 1, RS, III
114.2, 1409, 1, RS, III
114.2, 1447, 1, RS, III
114.3, 1033, 1, RS, V
114.3, 1104, 1, RS, V
114.3, 1343, 1, RS, III
114.3, 3007, 3, FS, III
114.4, 1320, 1, RS, III
114.4, 1352, 1, RS, III
114.4, 1426, 1, RS, III
114.4, 1430, 1, RS, III
114.5, 579, 0, RS, III
114.5, 1336, 1, RS, III
114.5, 1459, 1, RS, III
114.5, 2203, 2, RS, III
114.6, 1321, 1, RS, III
114.6, 1323, 1, RS, III
114.6, 1325, 1, RS, III
114.6, 1326, 1, RS, III
114.6, 1363, 1, RS, III
114.6, 1417, 1, RS, III
114.6, 1440, 1, RS, III
114.6, 1457, 1, RS, III
114.6, 2997, 3, FS, III
114.7, 1356, 1, RS, III
114.7, 1366, 1, RS, III
114.7, 1367, 1, RS, III
114.7, 1413, 1, RS, III
114.7, 1419, 1, RS, III
114.7, 1425, 1, RS, III
114.7, 3003, 3, FS, III
114.8, 722, 0, FS, III
114.8, 1307, 1, RS, III
114.8, 1315, 1, RS, III
114.8, 1357, 1, RS, III
114.8, 1421, 1, RS, III
114.8, 1424, 1, RS, III
114.8, 3005, 3, FS, III
114.9, 713, 0, FS, III
114.9, 1316, 1, RS, III
114.9, 1349, 1, RS, III
114.9, 1353, 1, RS, III
114.9, 1375, 1, RS, III
114.9, 1377, 1, RS, III
114.9, 1386, 1, RS, III
114.9, 1397, 1, RS, III
114.9, 1401, 1, RS, III
114.9, 1403, 1, RS, III
114.9, 1407, 1, RS, III
114.9, 1410, 1, RS, III
114.9, 1415, 1, RS, III
114.9, 1427, 1, RS, III
114.9, 1444, 1, RS, III
114.9, 1455, 1, RS, III
114.9, 2233, 2, FS, III
114.9, 2234, 2, FS, III
114.9, 3021, 3, FS, III
114.9, 3302, 4, LTS, VI
114.9, 3444, 4, LTS, V
115, 1312, 1, RS, III
115, 1341, 1, RS, III
115, 1345, 1, RS, III
115, 1348, 1, RS, III
115, 1361, 1, RS, III
115, 1393, 1, RS, III
115, 1456, 1, RS, III
115, 1464, 1, RS, III
115, 2996, 3, FS, III
115.1, 1359, 1, RS, III
115.1, 1378, 1, RS, III
115.1, 1399, 1, RS, III
115.1, 1406, 1, RS, III
115.1, 1408, 1, RS, III
115.1, 1431, 1, RS, III
115.1, 1463, 1, RS, III
115.1, 3019, 3, FS, III
115.2, 707, 0, FS, III
115.2, 714, 0, FS, III
115.2, 1310, 1, RS, III
115.2, 1333, 1, RS, III
115.2, 1338, 1, RS, III
115.2, 1391, 1, RS, III
115.2, 1396, 1, RS, III
